,logFC,AveExpr,t,P.Value,adj.P.Val,B
UBAP2L,-0.256254800776786,5.29271699934351,-4.22172634019995,4.51213020787794e-05,0.192832773716096,1.42493209250551
CD37,-0.307277650372504,6.70237206209924,-4.21978293898826,4.54646801308328e-05,0.192832773716096,1.4190356122409
LOC100130552,0.152831399025416,4.5419690721145,4.17532554077085,5.40400113169815e-05,0.192832773716096,1.28467872298379
PEX6,0.132673022558136,4.52956244177099,4.03457796488035,9.26253996147483e-05,0.202587104508493,0.866133137588469
FLJ37786,0.154517883035167,4.54847874231298,4.02893699347702,9.46226550716923e-05,0.202587104508493,0.849577465018134
LOC644214,-0.114304824574142,4.56728836725954,-3.92303305872416,0.000140696830881086,0.251026595763672,0.541954160854015
LOC100129466,0.125765687901735,4.54510309626718,3.86165444288208,0.000176476698585828,0.269883294051613,0.366476947166073
PRB3,0.161686854901849,4.56495576025954,3.75343842340157,0.000261547345352676,0.288684967246663,0.0622215113680831
RPS6KB2,0.187004357399378,6.08022792522137,3.70850002881072,0.000307260295015602,0.288684967246663,-0.062173452636646
KIF6,0.10944971189648,4.53056042829771,3.69100288068379,0.000327027884437307,0.288684967246663,-0.110294197789162
RTEL1,0.270559618262719,5.29658369538168,3.68296912916928,0.000336501978903639,0.288684967246663,-0.132329517426257
KIAA0495,0.186834394552537,4.87078235150382,3.66442328905557,0.00035937428670374,0.288684967246663,-0.183055277277466
CXorf48,0.242525873707123,4.91750123317557,3.66157053878108,0.00036302042636213,0.288684967246663,-0.190840302653097
LOC100133678,-0.587794467856017,6.6750620770458,-3.65047119338188,0.000377542227132487,0.288684967246663,-0.221084933316264
JARID2,-0.203296237527453,5.25744675758779,-3.59255404993625,0.000462659193411781,0.304377129915195,-0.377736924943542
SURF6,-0.163064977916271,4.72019206060305,-3.58641779978572,0.000472669581858365,0.304377129915195,-0.394218726704404
IWS1,-0.135398773951906,4.65115571139695,-3.57999629167132,0.000483363961565467,0.304377129915195,-0.411442960614843
FLJ23584,0.157337281711012,4.77893500415267,3.54105303946565,0.000553269676320857,0.30888578657431,-0.515377004528583
INTS7,0.209412820810594,4.81169402835114,3.52557704468074,0.00058361061127163,0.30888578657431,-0.556430236282892
C19orf28,0.203202192394844,4.96142588377863,3.52117891500288,0.000592515044323126,0.30888578657431,-0.568071124199337
ZNF622,-0.209064612847946,5.2421170891374,-3.51466361234477,0.000605941290804345,0.30888578657431,-0.585294480912968
ARHGEF1,-0.156994785225526,5.28217979062595,-3.49770341078624,0.000642247071783713,0.311637299940311,-0.630010109491985
LOC284422,0.485339996681393,6.2582408119542,3.48552802955085,0.000669561690670448,0.311637299940311,-0.662004216299567
XRCC5,-0.213562030990365,4.93096523556489,-3.37506893461574,0.000972388404525914,0.380834040457206,-0.948168837057314
LOC644037,0.104323480890629,4.53711169672519,3.37179337101274,0.000983078843421556,0.380834040457206,-0.956541228530847
SIRPD,0.11715886322374,4.57007365454962,3.36938571131474,0.000991006792880296,0.380834040457206,-0.962691042959834
FAM3A,0.284635932584611,7.05886458619084,3.36848944280319,0.000993973291451052,0.380834040457206,-0.964979445737114
CD74,-0.393807626306973,7.53932940417557,-3.34465000287381,0.00107599757046129,0.380834040457206,-1.02566620609259
LOC345041,-0.22487455258577,5.23943232598473,-3.32234541074633,0.0011584368711103,0.380834040457206,-1.08212821231616
MYL5,0.112423481531328,4.56211188051145,3.31596415403419,0.00118308702638476,0.380834040457206,-1.09822510811824
ZNF362,-0.164691491298965,4.82103522849618,-3.29413000846665,0.00127118787486562,0.380834040457206,-1.15311105439288
CLEC12A,-0.474906462418582,5.86150842179389,-3.25294754476741,0.00145426070407998,0.380834040457206,-1.2558249698327
CUL4B,-0.120880167375685,4.61541268667939,-3.25026529599237,0.00146699875170115,0.380834040457206,-1.26247798389159
HLA-DOA,-0.160366067912969,4.76893925274046,-3.24947515917718,0.00147077091015187,0.380834040457206,-1.2644369675547
SOCS7,0.115278190486549,4.58479882117557,3.2475783871994,0.00147986314129607,0.380834040457206,-1.26913802809226
LOC100129795,0.112185247776608,4.5836024729771,3.23545143525658,0.00153924344396725,0.380834040457206,-1.29914066877919
MED14,0.136360983841659,4.93799200689313,3.22457248241121,0.00159439424526988,0.380834040457206,-1.32597693686976
SUGT1L1,0.113795902476024,4.57986471512214,3.21866106747352,0.00162512827383218,0.380834040457206,-1.34052796215737
ARHGAP15,-0.235291991422447,7.72828973803053,-3.21777527617361,0.001629780820745,0.380834040457206,-1.34270644900497
FLJ37307,0.136252518366018,4.61718497664886,3.21496406752567,0.00164462871177672,0.380834040457206,-1.34961696419713
MGC72080,0.112955635479833,4.54462215648092,3.21034226626483,0.00166931349875424,0.380834040457206,-1.36096742689714
HLA-DMA,-0.273437457551176,6.40940301310687,-3.20963854615727,0.00167310213513671,0.380834040457206,-1.36269447528271
HLA-DQA1,-0.554554474278898,5.80197785547328,-3.206163232752,0.00169192987962668,0.380834040457206,-1.37121889064715
ADPRH,0.0899765534240392,4.51272010216794,3.20569702092632,0.00169447055711481,0.380834040457206,-1.37236185612897
MLST8,0.202067498003115,5.11930486378626,3.19265946059559,0.001766974336565,0.380834040457206,-1.40426901197994
FAM65A,-0.208996078478416,5.28011877291603,-3.18852428379548,0.00179056660721185,0.380834040457206,-1.41436662912914
LOC653080,-0.10118387224771,4.63534545222901,-3.1869236061514,0.00179977726237279,0.380834040457206,-1.41827238320035
GHDC,-0.0949455945012905,4.53308412768702,-3.18637653635429,0.0018029353099178,0.380834040457206,-1.41960689494826
STRN,0.203629804758563,5.19182031066412,3.18484939802678,0.00181177824122027,0.380834040457206,-1.42333116174678
LOC647450,-0.29689001761379,5.29470218801527,-3.183692568953,0.00181850370795825,0.380834040457206,-1.42615136106942
FBXL11,-0.201226774511466,5.2816079748626,-3.18107865817021,0.00183378577045838,0.380834040457206,-1.43252060598676
SPNS3,0.101606004352379,4.53317049059542,3.17834123972955,0.00184991780511674,0.380834040457206,-1.4391861438963
C14orf121,0.138983797413508,4.62866728785496,3.13969219578851,0.00209221554880787,0.422580571926395,-1.53278593230719
PABPN1,-0.19943896516612,5.33661189919084,-3.13320843064934,0.00213563861077848,0.422580571926395,-1.54839475700571
ROGDI,0.237486223705303,5.1016679798626,3.12515565743718,0.00219073324539044,0.422580571926395,-1.56774325710254
T-SP1,0.114401950946183,4.51714213485496,3.10960150143076,0.00230089877260986,0.422580571926395,-1.60499756846026
SUSD5,0.149650766628699,4.7578617410458,3.10467160338378,0.00233687305102249,0.422580571926395,-1.61677287664355
LRPPRC,0.142091226486542,4.92321076883206,3.1001536668244,0.00237029798432445,0.422580571926395,-1.62755045192453
DEFA1,-0.665245051450246,11.9047494710076,-3.09892265020094,0.00237948183338122,0.422580571926395,-1.63048477250631
ZNF653,0.269003245664343,6.00623320990076,3.0942614404534,0.00241455563204712,0.422580571926395,-1.64158664185499
SP110,-0.222279704194711,5.77695673042748,-3.09015580959292,0.00244584475557527,0.422580571926395,-1.65135364886235
BAZ2A,0.269476603966444,5.26307096412977,3.08250928470642,0.00250512170154629,0.422580571926395,-1.6695151847077
TTLL1,0.119826589468332,4.65846396319084,3.08103106673412,0.00251673328941327,0.422580571926395,-1.67302179584121
LYL1,0.279391978624123,11.2622250517557,3.07664905026118,0.00255144783488498,0.422580571926395,-1.6834084611383
LOC399491,0.119305186491005,4.60324604954199,3.07484358669291,0.00256587923168759,0.422580571926395,-1.68768432654875
LOC642113,-0.335464175451186,5.65797038438168,-3.0529771092414,0.00274675991773402,0.434626722159158,-1.73930285470515
TMF1,-0.101381147868582,4.57017082470229,-3.05079815518644,0.0027654155549288,0.434626722159158,-1.74442954833702
PALMD,0.149655804272608,4.63111041060305,3.04000256857593,0.00285958339322451,0.434626722159158,-1.76978412686223
PPIG,-0.153853606555675,4.77784428957252,-3.03537732337383,0.00290082748058252,0.434626722159158,-1.7806237987335
PLUNC,0.253031894221314,5.17416124153435,3.03175056205225,0.00293355133005754,0.434626722159158,-1.78911368751144
C17orf103,0.226213981347263,4.69107197747328,3.02386571176163,0.00300587443976217,0.434626722159158,-1.80754175094147
LOC642367,0.18455049417709,5.1893918430458,3.02337560438134,0.00301042377361637,0.434626722159158,-1.80868586554001
TWSG1,0.116708189207532,4.8431776399084,3.0217379967623,0.00302567069089157,0.434626722159158,-1.81250758600374
LOC389293,0.320221608005199,8.75140827838931,3.01825481323408,0.00305833802566364,0.434626722159158,-1.82063054355427
