,logFC,AveExpr,t,P.Value,adj.P.Val,B
TRIM38,0.268952299616184,11.2294880693299,4.43885226903414,1.79434963765439e-05,0.00283507242749394,2.70701676314635
BTN3A2,0.215858971237082,10.1914260955826,3.4579795161176,0.000717111948127018,0.0314352414572132,-0.604762850824068
NOP14,-0.207478385502039,7.74687891529895,-3.43406054140118,0.000778136770397706,0.0314352414572132,-0.677132896731135
SP110,0.249340124176988,11.7233726020933,3.32414826450625,0.00112651822687135,0.0314352414572132,-1.00424141403474
IFITM3,0.499579854173228,14.5695583891171,3.32131735072487,0.00113717291976109,0.0314352414572132,-1.01254750078677
NARS,-0.222326609535365,10.9665836872393,-3.30668953733973,0.00119374334647645,0.0314352414572132,-1.05537068557383
FAR2,0.284322673296489,8.35429787493929,2.90708872667544,0.00422968539824829,0.0954700418461757,-2.1618979499647
PARP1,-0.236255578945881,11.5783558053647,-2.63370041443917,0.00937502503613799,0.185156744463725,-2.84637321900981
LRPPRC,-0.130725817176557,9.02113513005256,-2.50873052469132,0.0132319844723942,0.223392775383016,-3.13896626320281
ARRB2,0.159991150492171,8.53287172865707,2.48417162113205,0.0141387832520896,0.223392775383016,-3.19494497325295
MYB,-0.213660269010784,8.90087667041262,-2.44670124686559,0.0156292438161216,0.224492774813384,-3.27938415966065
KLF12,-0.24670602603199,8.6775090362555,-2.36768787902616,0.0192375764554365,0.253294756663247,-3.45358166711352
CD8B,-0.195787577417109,6.63937804860689,-2.29796660428696,0.0230132826482776,0.279699896802143,-3.60291740941433
SNURF,-0.0977569259188567,8.11465325266207,-2.2610503845961,0.0252645392598476,0.285128371646851,-3.6803163587996
LGALS9,0.193049237467132,8.8534047194255,2.20005797568383,0.0294070352308957,0.309754104432101,-3.80564351152602
XRCC5,-0.0711563945153212,10.654566009769,-2.13212626730198,0.0347042437912365,0.326241687054805,-3.94146920167535
HLA-DPA1,0.183159674497245,13.5099539293141,2.12739665643573,0.0351019536704537,0.326241687054805,-3.9507776138381
SIRPD,0.219010495636499,8.08637858581534,2.09200610672784,0.038204599570612,0.335351485119816,-4.019815932304
CYBA,0.145627328943921,14.2121967683846,2.02332283433465,0.0449020522241465,0.373396013232376,-4.15069725051045
SURF6,-0.118931517339147,9.80923549376729,-1.96211292313385,0.0516898265681384,0.398443197353778,-4.26386894390826
ROGDI,0.176685375971812,7.78633486448588,1.95144388468893,0.052957640154616,0.398443197353778,-4.28325911045767
BAZ2A,0.121525102786717,7.03265287977943,1.90350389177074,0.0589829993621917,0.399654425364704,-4.36915134309505
RPL36AL,-0.076726609139634,13.7107742606503,-1.88985769011445,0.0607997824545594,0.399654425364704,-4.39323054089508
SPNS3,-0.18856974030031,7.42807990017835,-1.86850485798208,0.0637364576476936,0.399654425364704,-4.43057842298139
CCDC6,-0.0964843154742007,10.9531682863817,-1.84823216543134,0.0666332253967575,0.399654425364704,-4.46566393321323
ADSS,-0.0819587599553861,9.89469025917537,-1.84534551408523,0.0670544764589025,0.399654425364704,-4.47063020292752
API5,-0.0858537978001766,10.4211963146978,-1.83692893342924,0.0682953764863734,0.399654425364704,-4.48506815481685
