,logFC,AveExpr,t,P.Value,adj.P.Val,B
ARG1,-1.7919744093934,8.19657383342526,-8.26115341791283,1.27678094902616e-14,2.01731389946134e-12,22.6983646578715
HP,-1.7396739010328,8.13312528699933,-7.05104803215021,2.19804652457715e-11,1.73645675441595e-09,15.471994130477
HLA-DMA,0.529837789846983,12.7351375037374,6.86452684562075,6.52076723577798e-11,3.4342707441764e-09,14.4200153276749
SPNS3,0.73287959073703,7.43255256442865,6.59377808438887,3.06103540338465e-10,1.20910898433694e-08,12.9256895968451
MMP8,-1.65892033879432,6.11284231940211,-6.15849147435592,3.38154704220948e-09,1.0685688653382e-07,10.6088574414097
FAR2,-0.551653415432238,8.39709170107675,-5.71330760877526,3.5207280205047e-08,8.34665672078391e-07,8.35589971445883
BCL11A,0.427965642023642,9.77850247416897,5.70372769677455,3.6978858889549e-08,8.34665672078391e-07,8.30877698003955
FAM3A,0.24343229907987,11.656879243042,5.63744193654626,5.18559252148484e-08,1.02415452299326e-06,7.98433414620094
CEACAM6,-1.28277871842327,7.71521108139788,-5.56276437138937,7.56483006077838e-08,1.32804794400332e-06,7.62221454223165
BPI,-1.10002984712723,7.98278393295691,-5.52456667321591,9.16417331163797e-08,1.4479393832388e-06,7.43839395892699
ZNF362,0.308222728381808,9.73691406714873,5.49017983971958,1.08825846828955e-07,1.45172238412212e-06,7.2737314029791
CEACAM8,-1.33756234361491,7.72570916063697,-5.48540199873268,1.11449127465167e-07,1.45172238412212e-06,7.25091416545779
HIST1H2BD,-0.784962473996704,10.3389498755076,-5.47148622410644,1.19445512617643e-07,1.45172238412212e-06,7.18454335574767
PGLYRP1,-1.08461553354727,10.8861510802125,-5.44392685705278,1.36964536935027e-07,1.54574263112388e-06,7.05347814179726
COL17A1,-0.757643195705787,6.89230722613362,-5.42251079909475,1.52282574936308e-07,1.60404312266244e-06,6.95197705859089
ICOS,0.581947809192701,9.58078149345699,5.31933441441265,2.52730224827389e-07,2.49571097017047e-06,6.46727250594653
SPSB3,0.287335859031645,12.0046343163111,5.21890019944044,4.11062773280364e-07,3.82046577519397e-06,6.00236177224716
RPS6KB2,0.213540695012652,10.2725560626078,5.16047942125803,5.43818404334112e-07,4.77351710471053e-06,5.73510708180125
HLA-DOA,0.482122119022594,10.0108121161921,5.00441305286096,1.13572485691309e-06,9.4444488101194e-06,5.03277963260994
GHDC,0.241031270741466,9.19915874643081,4.98523821649765,1.24185967057278e-06,9.81069139752496e-06,4.94766838756691
LCN2,-1.10513387820576,10.8232797612628,-4.97196618498234,1.32088187294278e-06,9.93806361547424e-06,4.88891027659973
INTS7,-0.28824590633282,7.45894564040139,-4.72180715220375,4.13008069987107e-06,2.96614886627104e-05,3.80501406399203
DEFA3,-1.26740304788523,12.6247830307296,-4.60722899089879,6.86057402123257e-06,4.71291606675977e-05,3.32378547937497
ORM2,-0.732683156159456,6.60689665176639,-4.57740234533647,7.81752680450906e-06,5.14653847963513e-05,3.20010822797255
DEFA1,-1.08417931477384,13.4308297794471,-4.55883068373506,8.47695126266737e-06,5.35743319800578e-05,3.12343521166569
HLA-DPA1,0.375664930193102,13.9548115398911,4.51284098712748,1.03483282957152e-05,6.27462507195743e-05,2.93467799071037
STRN,-0.140889253958832,7.71104936539463,-4.50461566885158,1.07224605660032e-05,6.27462507195743e-05,2.90108586788614
DEFA1B,-1.29815186203927,12.0063850018422,-4.48339118725139,1.17488939925097e-05,6.41394087239058e-05,2.81464057791921
ARHGEF11,-0.385110173987557,7.49650805134313,-4.48292584920481,1.17724231202106e-05,6.41394087239058e-05,2.81274910439975
ASXL1,0.197685150716789,9.1316510120948,4.37225487441186,1.88612831790354e-05,9.93360914095863e-05,2.36756158375855
RPLP0,0.471706483615503,11.2063346064789,4.30754514532607,2.47436181315431e-05,0.000126112634347865,2.11158861779865
