,logFC,AveExpr,t,P.Value,adj.P.Val,B
SPNS3,-0.89299322093504,7.38722266063457,-9.29152838506479,8.60127782430254e-17,1.3590018962398e-14,27.6187128632641
HP,1.90759549063215,8.09800922365698,9.15794210644081,1.95865204557505e-16,1.54733511600429e-14,26.8145187034602
CEACAM6,1.82922518925167,7.97363006621413,8.89577994515306,9.74216509807895e-16,5.13087361832158e-14,25.2472048886593
CEACAM8,1.95502165497183,8.02723722352094,8.7844026253175,1.91708562404593e-15,7.57248821498144e-14,24.5860115457192
LCN2,1.59542595047111,11.0590433258298,8.61257408522823,5.416213702071e-15,1.71152352985444e-13,23.5717817264542
ARG1,1.75709710152389,8.02057758795946,8.52882660411278,8.96169263246478e-15,2.35991239321573e-13,23.0801357070502
ICOS,-0.907467995574559,9.41133073560623,-8.49465591219742,1.10001628488089e-14,2.48289390015971e-13,22.8800555436867
GRWD1,-0.490631785593738,9.08505467400758,-8.26984684753692,4.20386414184118e-14,8.30263168013633e-13,21.5715610256392
DEFA1,1.72313641525434,13.7683880209017,8.19329421132128,6.61523525425979e-14,1.16134130019227e-12,21.1292098679948
DEFA3,1.97193423374759,12.9908586958383,8.12488529722874,9.90563922002651e-14,1.56509099676419e-12,20.7353572440551
BPI,1.37116889294467,8.07155173618878,8.10564617205667,1.10939893636801e-13,1.5935002904195e-12,20.6248405932892
BCL11A,-0.620669458494517,9.68529390837781,-8.05847406825664,1.46397428338119e-13,1.92756613978523e-12,20.3543363811153
MMP8,1.82899669681985,6.0860495918332,7.99475345455169,2.12704229445706e-13,2.5851744809555e-12,19.9900103584434
SP110,0.523482542634632,11.9114202467666,7.86233220973785,4.6049080560413e-13,5.19696766324661e-12,19.2369333479422
DEFA1B,2.00335429281964,12.3702948846306,7.83450266713758,5.41272250807203e-13,5.70140104183587e-12,19.0793784174193
FAR2,0.780329263690209,8.5039712981632,7.54424454786438,2.87743458193026e-12,2.84146664965613e-11,17.4515009864237
COL17A1,0.855511483064178,6.89365510568334,7.38427950959008,7.13768308691903e-12,6.63384663372475e-11,16.56693633
