pathway	pval	padj	log2err	ES	NES	size	leadingEdge	magNES
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME DATABASE ID RELEASE 56%1799339	9.43E-13	1.34E-09	0.910119735	-0.651063644	-2.440173097	96	"RPS4X, RPL26L1, RPL27A, SRP19, SSR2, SPCS2, SEC11A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, SPCS1, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, SPCS3, SRP14, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, SEC11C, RPL7A, RPL37, RPS10, RPSA, SRP9, RPL17, SRPRB, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPN1, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14"	2.440173097
EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 56%156842	8.97E-11	2.26E-08	0.839088936	-0.656222811	-2.374179284	79	"RPS4X, RPL26L1, RPL27A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, EEF1A1, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, EEF1G, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, RPL17, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8"	2.374179284
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.1	1.08E-10	2.26E-08	0.839088936	-0.659618693	-2.371510919	75	"RPS4X, RPL26L1, RPL27A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, RPL17, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8"	2.371510919
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 56%156902	1.48E-10	2.63E-08	0.826657301	-0.658981291	-2.371038551	76	"RPS4X, RPL26L1, RPL27A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, EEF1A1, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, RPL17, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8"	2.371038551
EUKARYOTIC TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 56%72764	1.11E-10	2.26E-08	0.839088936	-0.656865502	-2.370101419	77	"RPS4X, RPL26L1, RPL27A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, TRMT112, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, RPL17, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8"	2.370101419
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006614	1.41E-11	6.69E-09	0.875325132	-0.645580833	-2.369684507	84	"RPS4X, RPL26L1, RPL27A, SRP19, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, SRP14, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, SRP9, RPL17, SRPRB, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8"	2.369684507
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 56%72689	2.95E-11	1.05E-08	0.851339057	-0.640684196	-2.358562664	87	"RPS4X, RPL26L1, RPL27A, EIF1AX, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, EIF3G, RPS10, RPSA, RPL17, EIF3F, RPS18, RPS29, RPS15, EIF3E, RPS16, EIF3I, EIF3M, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8, EIF3L, RPL18A"	2.358562664
PROTEIN TARGETING TO ER%GOBP%GO:0045047	2.02E-10	3.20E-08	0.826657301	-0.6246061	-2.317859911	90	"RPS4X, RPL26L1, RPL27A, SRP19, SPCS2, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, SPCS1, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, SRP14, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, SRP9, RPL17, SRPRB, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14"	2.317859911
TRANSLATION%REACTOME DATABASE ID RELEASE 56%72766	6.29E-12	4.48E-09	0.887074988	-0.589342881	-2.309157606	130	"RPS4X, RPL26L1, RPL27A, SRP19, SSR2, SPCS2, SEC11A, EIF1AX, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, EEF1A1, EIF2S3, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, EEF1G, SPCS1, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, SPCS3, SRP14, RPL11, TRMT112, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, SEC11C, RPL7A, RPL37, EIF3G, RPS10, RPSA, SRP9, RPL17, EIF3F, SRPRB, RPS18, RPS29, RPS15, EIF3E, RPS16, EIF3I, EIF3M, RPL22, RPS27, RPL37A, RPN1, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14"	2.309157606
COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	8.30E-10	1.08E-07	0.801215575	-0.613618919	-2.277087423	90	"RPS4X, RPL26L1, RPL27A, SRP19, SSR2, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, SRP14, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, SRP9, RPL17, SRPRB, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14"	2.277087423
