,logFC,AveExpr,t,P.Value,adj.P.Val,B
WDR19,0.13917626144603,4.6084595451049,4.14673909379179,5.78652217518138e-05,0.323516878708227,1.27563945931325
RNU5A,0.681909110852223,6.35195291078322,4.03929836243331,8.75601485644314e-05,0.323516878708227,0.95018345257259
SLC7A1,0.29698252417657,5.42531518990909,3.98465504309202,0.000107778026651397,0.323516878708227,0.78713789458647
HIRA,0.144529004394277,4.53520868491608,3.95196093083232,0.000121927192453151,0.323516878708227,0.690394367881564
CEBPD,-0.369122183294697,8.71500565071329,-3.85682045747476,0.000173868028706146,0.323516878708227,0.412359922537777
WDR22,0.139770568369559,4.94791064208392,3.82249448622299,0.000197320565306628,0.323516878708227,0.313336491025131
LOC100129608,-0.121990371076655,4.62300121740559,-3.77789321615621,0.000232302382754114,0.323516878708227,0.185703821662048
TSC22D3,-0.31607171184342,8.2186945585035,-3.74626298565825,0.000260592764922168,0.323516878708227,0.09590208571412
MAN1A1,0.253000679997101,5.57820409542657,3.73336786026311,0.000273038271687341,0.323516878708227,0.0594620201215514
C19orf12,-0.144750918544059,4.85108469765734,-3.6767582675647,0.000334641279423864,0.323516878708227,-0.099333112188984
DCTN4,0.255011176410661,5.58552011260839,3.66834990817007,0.000344842590230965,0.323516878708227,-0.122755040659696
SLC22A23,0.185172415749245,5.03625008788811,3.63966756329691,0.00038189712188877,0.323516878708227,-0.202329654650852
RNASE6,-0.263884493312071,5.5705126686993,-3.6251385576622,0.000402072374114152,0.323516878708227,-0.242447702388591
GSTA5,-0.57287192722683,5.32828746425175,-3.61071372361722,0.00042309540419572,0.323516878708227,-0.282151016448966
ADD1,0.196501883937652,7.13670792444056,3.56607575143135,0.000494915153977242,0.353204448221758,-0.404207963132907
RPA1,0.233748863939319,5.90077585681119,3.53093687978547,0.000559375973061335,0.365192875888505,-0.499429104405277
RNU11,0.359730471701416,5.30328078048252,3.52052627257918,0.000579941979458625,0.365192875888505,-0.527493758754434
NUDCD2,-0.134153625942732,4.7297140703986,-3.39727905817428,0.000884044084201732,0.476175707192725,-0.854598839791947
C2CD2,0.0786756639564598,4.49996145525175,3.3867609846139,0.000915967415185417,0.476175707192725,-0.882071573307559
MTE,0.161353646694922,4.56070880711888,3.38675270498901,0.000915992964565293,0.476175707192725,-0.88209317167251
RCOR3,0.240263044402243,6.59182369830769,3.34478471061916,0.00105443166296333,0.476175707192725,-0.991011185606733
FAM134C,0.144541349911562,4.75890004297902,3.34037401208267,0.00107006579284958,0.476175707192725,-1.00239287053139
FOXJ2,0.245739534911188,6.53882152695804,3.31869404529402,0.00115011242189387,0.476175707192725,-1.05815633356092
LOC441131,-0.200654425166567,7.38319416066434,-3.30034475639911,0.00122219657091042,0.476175707192725,-1.10511716506705
RRAGB,0.17649915828879,5.03281199653846,3.28344849804457,0.0012922813505842,0.476175707192725,-1.14816757009576
JARID1D,0.201477759138477,4.6821044382028,3.25658594563905,0.00141146690450707,0.476175707192725,-1.21623161567963
PIGF,-0.154451978245266,4.95006969755944,-3.25090860273367,0.00143793374090449,0.476175707192725,-1.2305569649689
EIF1AY,1.40921702179696,6.92547666258042,3.24446132018587,0.00146855020256893,0.476175707192725,-1.2467996888536
CYB5R1,0.240586654105099,6.43043676767133,3.22650213142476,0.00155706431516777,0.476175707192725,-1.29190199638331
SERINC1,0.196839595905041,5.93619547358741,3.22450736579411,0.00156719636387844,0.476175707192725,-1.29689864650369
LOC643357,-0.25505101771265,7.22652930555245,-3.20431918177575,0.00167324780559317,0.476175707192725,-1.34732151200446
MCM3AP,0.150996226648515,5.0597374292028,3.19821183778254,0.00170662205483396,0.476175707192725,-1.36252299145657
GLIPR1,-0.236189220763737,5.9686255397972,-3.18577135341605,0.00177652670197811,0.476175707192725,-1.39341240622519
GALNT10,0.104701209327129,4.54057245246853,3.18359700092448,0.00178901442540044,0.476175707192725,-1.39880085179261
LOC730278,-0.353896821823635,8.09955824791608,-3.17932309766138,0.00181379826035085,0.476175707192725,-1.40938332658249
RNY5,0.39375627721897,6.42040304251748,3.17789566830817,0.00182214652744163,0.476175707192725,-1.41291506683308
AIF1,-0.225847476585806,8.69798720235664,-3.17389512808308,0.00184573406414064,0.476175707192725,-1.42280605553229
