GO.ID	Description	p.Val	FDR	Phenotype
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME DATABASE ID RELEASE 56%1799339	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE	9.428222206864394e-13	1.3444644866988627e-9	-1
EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 56%156842	EUKARYOTIC TRANSLATION ELONGATION	8.974382248410985e-11	2.2574375936741602e-8	-1
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.1	VIRAL MRNA TRANSLATION	1.0813943219968314e-10	2.2574375936741602e-8	-1
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 56%156902	PEPTIDE CHAIN ELONGATION	1.4767217841976908e-10	2.6322565803323837e-8	-1
EUKARYOTIC TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 56%72764	EUKARYOTIC TRANSLATION TERMINATION	1.1081390712285499e-10	2.2574375936741602e-8	-1
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006614	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE	1.4071745254909292e-11	6.6887695778335495e-9	-1
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 56%72689	FORMATION OF A POOL OF FREE 40S SUBUNITS	2.94546308054818e-11	1.0500575882154261e-8	-1
PROTEIN TARGETING TO ER%GOBP%GO:0045047	PROTEIN TARGETING TO ER	2.0200433174069154e-10	3.2006464118025125e-8	-1
TRANSLATION%REACTOME DATABASE ID RELEASE 56%72766	TRANSLATION	6.2867366953066184e-12	4.482443263753619e-9	-1
COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE	8.299659142618089e-10	1.0759376306703086e-7	-1
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.1	SELENOCYSTEINE SYNTHESIS	5.069930582304637e-9	4.2527770649214186e-7	-1
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.1	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT	7.41935454798736e-10	1.0579999585429975e-7	-1
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599	ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM	1.3615476985125388e-9	1.6179725150657336e-7	-1
PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0070972	PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM	3.2608768399481763e-9	3.5769310567431537e-7	-1
