,logFC,AveExpr,t,P.Value,adj.P.Val,B
SULT1A3,-0.16191448292076,4.85942134619847,-3.91064160194148,0.000147310506483239,0.639123344976154,-0.190571860011348
LOC643357,-0.460211170391673,7.2205968491145,-3.86279236373729,0.000175739706712363,0.639123344976154,-0.303960116920478
HMBS,-0.808741821722657,8.54407877718321,-3.76272863084302,0.000252936853365578,0.639123344976154,-0.537776253558458
LOC100130561,-0.484860695947752,6.11621788310687,-3.69578749348285,0.000321504166824106,0.639123344976154,-0.691655734143445
NCOA3,0.192748427024668,5.66123663581679,3.64100873676918,0.000390352297966215,0.639123344976154,-0.816035436947714
CYBA,-0.50510008849012,8.81752154068702,-3.63615514199944,0.000397082454769126,0.639123344976154,-0.826988337850201
CSTB,-0.49567237900757,7.80099974835114,-3.52771114954947,0.00057933263529119,0.639123344976154,-1.06880300665253
ASXL1,0.257947999629877,5.25894194750382,3.50801109701325,0.000619942475372072,0.639123344976154,-1.11212816555825
HIST1H2AC,-0.511302869740317,6.50320993760305,-3.46968912695695,0.000706728756940852,0.639123344976154,-1.19586954760085
ACTG1,-0.343069787178948,9.72862931819084,-3.43687610137368,0.000789988993987683,0.639123344976154,-1.26700437184662
CD37,-0.326389250766688,6.70237206209924,-3.43616846381816,0.000791882120472396,0.639123344976154,-1.26853264153577
YY1,0.287868749913713,7.06410678594656,3.42980796031398,0.000809090443768527,0.639123344976154,-1.28225824873767
PSMC1,-0.246848495276768,7.42822448956489,-3.42233095173469,0.000829768163105304,0.639123344976154,-1.29836778587368
LOC440589,-0.302813621971987,11.4732117814656,-3.41761022300037,0.000843077647631255,0.639123344976154,-1.30852463029891
LOC390466,-0.30816561160344,5.47251917637405,-3.39965593194823,0.00089554882528186,0.639123344976154,-1.34705364196746
FAM21D,0.306787761499525,4.98568724552672,3.37404471891614,0.000975715298914957,0.652814517180288,-1.40173793411479
NOP14,0.176078699941251,4.70267146838168,3.33821624417027,0.00109919132800133,0.681277919673197,-1.47769005135073
PRKAB1,0.174024660420682,4.55628544674809,3.32573368867708,0.00114553970612962,0.681277919673197,-1.50400074843858
PARP1,0.328378246726777,5.95378602271756,3.30397869634065,0.0012307111106859,0.693408549468029,-1.54966864647574
LOC643319,-0.38615132515357,6.09790441129008,-3.25107879080719,0.00146311913708973,0.701925854980375,-1.65971706059155
SNURF,-0.437277487597088,6.02743430468702,-3.23462929824792,0.00154334280967547,0.701925854980375,-1.69364691252253
RPL36AL,-0.220961767758679,9.51935691483969,-3.23286509345062,0.00155218590168213,0.701925854980375,-1.69727766705761
ARPC4,-0.331226148199169,7.51165145380153,-3.22752486423684,0.00157924233655699,0.701925854980375,-1.70825820727288
LOC643176,0.162669642602073,4.5412872511145,3.22475158504643,0.00159346589407149,0.701925854980375,-1.71395483789932
ICOS,0.321612098180608,5.3392626080229,3.21597904536801,0.00163924767627365,0.701925854980375,-1.731948648052
GGA2,0.1313724603937,4.55301677861069,3.19949739909291,0.00172858932761875,0.710778823834687,-1.76564802846388
LOC389342,-0.479688310399998,9.86691523303817,-3.14667493454258,0.00204636108752375,0.710778823834687,-1.87270629395219
VNN2,-0.577900457965089,7.85014543915267,-3.14375618865172,0.00206541056156842,0.710778823834687,-1.87857964823888
C1orf41,-0.26602864736453,5.03562914732824,-3.14158823911567,0.00207966624851059,0.710778823834687,-1.8829393113654
MAPK1,-0.216761400648157,6.53162680710687,-3.1347619185624,0.00212515224283565,0.710778823834687,-1.89665076881726
STAG3,0.194330988092704,4.62539133943511,3.1312342281165,0.00214901840851351,0.710778823834687,-1.90372701216796
PPP1CA,-0.182885419547311,5.58368394854199,-3.11434812139911,0.00226674019565092,0.710778823834687,-1.93750896700136
LOC651143,-0.244949404460255,5.0834972671145,-3.11022128156023,0.00229640540303264,0.710778823834687,-1.94574231992081
TACC3,0.247246507853301,5.00677963021374,3.07700503569475,0.002548603540037,0.710778823834687,-2.01168526302559
LOC100134537,-0.231587254653936,6.11351041283969,-3.07449686775451,0.00256865149199482,0.710778823834687,-2.01664102769914
KIAA1949,-0.301722121029702,7.32830694741221,-3.06518344623574,0.00264437757705553,0.710778823834687,-2.03501386723703
HERC6,0.161800373815597,4.64274004298473,3.05359564996751,0.00274147728206789,0.710778823834687,-2.05780934359244
TMEM101,-0.239536774290209,5.84428244376336,-3.052567448994,0.00275025032319379,0.710778823834687,-2.0598285803148
ARPC1B,-0.406444841886017,6.65853592948092,-3.05123723679885,0.00276163874103074,0.710778823834687,-2.06244009105989
ZBTB44,0.293722966136702,5.78783318033588,3.05047130799695,0.00276821587996378,0.710778823834687,-2.06394335860852
BANF1,-0.32354722985448,6.14514412119084,-3.04541596379182,0.00281199111065408,0.710778823834687,-2.07385753536886
ARRB2,-0.268082096418013,5.69545516124427,-3.04336808969725,0.0028299053446072,0.710778823834687,-2.07786981643234
ARHGEF11,0.170132154454723,4.60724255845802,3.04051187998751,0.00285506673749571,0.710778823834687,-2.08346210147514
BRD9,0.292665443917456,5.70859839194657,2.99014473757781,0.00333411292989373,0.811174520784372,-2.18136327421208
VPS11,0.114821073858863,4.54491789921374,2.96780014045731,0.00356948059992422,0.8328961636935,-2.22436044300327
EWSR1,0.170651445988943,5.65263795373282,2.96204362599151,0.00363254573928133,0.8328961636935,-2.23539402827107
LGALS9,-0.272616433849696,5.25493652764122,-2.95705291434211,0.00368804895904888,0.8328961636935,-2.24494532475905
RPLP0,-0.530013663070724,8.79199477419084,-2.95291912453037,0.00373461147662662,0.8328961636935,-2.25284645052026
ACRC,0.128932057945712,4.53477508362595,2.9445918745701,0.00383005377337839,0.835994027824821,-2.26873471413135
GRWD1,0.185613115252818,4.67085793709924,2.92720955995067,0.00403654321214232,0.835994027824821,-2.30177892602214
HOXA6,0.223560372755614,4.79203410255725,2.92522130734112,0.00406080263094169,0.835994027824821,-2.3055482004453
LOC644153,0.11164079751553,4.54832201174809,2.92082468318047,0.00411492347780811,0.835994027824821,-2.31387557641459
FBXO7,-0.769300475591116,8.32421827277863,-2.9130583363297,0.00421214479651929,0.835994027824821,-2.32855966487392
KLRD1,-0.429292714970876,5.1756616068855,-2.89078066003674,0.00450283375985574,0.835994027824821,-2.3704985248057
LOC641750,0.134149597379818,4.5156347258626,2.88884614289251,0.00452892451967133,0.835994027824821,-2.37412757147155
EFS,0.12524957917469,4.54552997718321,2.88409412135498,0.00459360399121895,0.835994027824821,-2.383033414924
HIST1H2BD,-0.31563132911135,5.92626522621374,-2.86538801763133,0.00485651694927498,0.835994027824821,-2.41797071851093
ZNF695,0.157612161699094,4.54434636406107,2.86532405387657,0.00485743911373382,0.835994027824821,-2.41808985420993
LOC646791,-0.278815642402249,5.53365866720611,-2.86129199910138,0.00491589362665614,0.835994027824821,-2.42559522501225
PLXDC1,0.115954742910256,4.53206331912214,2.85610868205186,0.00499198388127542,0.835994027824821,-2.43523046664474
ALDOA,-0.272683578327367,6.82911401798473,-2.85113168515602,0.00506605765303492,0.835994027824821,-2.44446828129665
NCF1,-0.495957019660369,7.17469464184733,-2.83732640751085,0.00527681571073588,0.835994027824821,-2.47002091489029
EIF3A,0.364055350794968,6.02151202128244,2.82262093505828,0.00551010313580779,0.835994027824821,-2.49712411803242
LOC100130707,-0.230585970447897,4.98414125780916,-2.82056150064677,0.00554351524487221,0.835994027824821,-2.5009102591071
GPSM3,-0.258649844258233,8.13982478075573,-2.81838776571474,0.00557898228618763,0.835994027824821,-2.50490398942857
GAK,0.211964946057364,6.09245603431298,2.81463288975717,0.00564073569149662,0.835994027824821,-2.51179653714671
RWDD2B,0.150226679503553,4.57111177619847,2.81441390940833,0.00564435626001302,0.835994027824821,-2.51219826227399
ERGIC3,-0.252934115952101,6.68652772429771,-2.80866740169295,0.00574012885969379,0.835994027824821,-2.52273088497636
ITCH,0.135037449378281,4.65858233029008,2.8075625055644,0.00575871234270228,0.835994027824821,-2.52475392246854
LOC728698,-0.41469758785613,6.45787527783206,-2.80669646974017,0.00577331672832468,0.835994027824821,-2.52633913948904
LOC100131381,0.159247602866771,4.56208837300763,2.8066081046009,0.00577480877051694,0.835994027824821,-2.52650086221463
RAE1,-0.26734245323708,5.74515685701527,-2.80469729161496,0.00580715892709338,0.835994027824821,-2.52999690473721
ACER2,0.157701157450145,4.70947147733588,2.80368530418924,0.00582435878469236,0.835994027824821,-2.53184762673636
KLRC1,-0.183623135021187,4.73228338042748,-2.79973745562231,0.00589190189011739,0.835994027824821,-2.53906201734702
SRI,-0.117458381085879,4.66410533157252,-2.79509236381992,0.00597228799997939,0.835994027824821,-2.54753948634049
LOC100133372,-0.406081270309146,6.92535178778626,-2.79480325910909,0.00597732402255872,0.835994027824821,-2.54806671722987
RPS2,-0.28771673224808,10.4637865773359,-2.79274886627561,0.006013221872257,0.835994027824821,-2.55181190915858
