,logFC,AveExpr,t,P.Value,adj.P.Val,B
PARP1,0.609898792677168,5.89640782311538,4.50060630574117,0.000132191966606938,0.92446988307386,-1.72690795838297
WDR4,0.304240018801666,4.76690740223077,3.72381400335768,0.000986494626587934,0.92446988307386,-2.44556236215774
KLRD1,-0.675799282078165,5.08151891734615,-3.69393686716947,0.00106461126205526,0.92446988307386,-2.47390692709092
YY1,0.425690919173788,7.10140426592308,3.66344556075226,0.00115057276754617,0.92446988307386,-2.50286572053424
BCL11A,0.657892412613179,5.58541422761538,3.58686807186316,0.0013975108212615,0.92446988307386,-2.57571588671917
N4BP2L1,0.268949964873663,4.730323494,3.53695533012151,0.0015855734289621,0.92446988307386,-2.62327535746903
RPL36AL,-0.328269787988448,9.50554968219231,-3.53209566109535,0.00160515040283786,0.92446988307386,-2.62790848530108
NCOA3,0.294944652718972,5.65146791423077,3.52496359800573,0.00163430879795094,0.92446988307386,-2.6347088075565
LOC100131989,0.671289797668702,6.2566780955,3.47543495287158,0.00185151725443096,0.92446988307386,-2.68195443908663
FCRLA,0.612359600382294,5.17609852992308,3.44209050029009,0.00201330685721709,0.92446988307386,-2.71377758401725
KLF12,0.302143057242042,4.73151580030769,3.43748812266196,0.00203669000926695,0.92446988307386,-2.71817067897236
SEC61A1,0.362719384494191,5.64523531988462,3.40757176216316,0.00219524290537504,0.92446988307386,-2.74672939521552
MYO9B,0.390030520429087,5.02829001880769,3.31806276165218,0.00274445583898639,0.92446988307386,-2.83217786481584
TUBB1,0.776646436997507,7.78821439834615,3.27938695712915,0.00302095011568791,0.92446988307386,-2.86908362488178
MAPK1,-0.332742256261861,6.53803439726923,-3.25891191592253,0.00317803101762885,0.92446988307386,-2.88861397781578
TMEM77,0.227030165215462,4.61984671296154,3.25570238598287,0.00320335805976573,0.92446988307386,-2.89167484326189
LOC100132717,-0.365505165044168,5.17247800507692,-3.25128751272423,0.00323851514460873,0.92446988307386,-2.89588494263086
BIRC3,0.620874172768393,6.54858308488462,3.2082781962351,0.0036010625715996,0.92446988307386,-2.93688022113373
EWSR1,0.275099106744767,5.65617359307692,3.20238811192464,0.00365365983213335,0.92446988307386,-2.94249143810473
MGEA5,0.476810732181401,7.90365210180769,3.18879346513054,0.00377789618194947,0.92446988307386,-2.95543926825598
C18orf10,-0.642210877052502,7.50006579842308,-3.16715516322432,0.00398406589516556,0.92446988307386,-2.97603819337689
GGA2,0.207549656455536,4.5457748035,3.15612558730385,0.00409327672843782,0.92446988307386,-2.98653293412388
LOC92755,-0.276870955035965,4.85004956188462,-3.146684810955,0.00418903602586923,0.92446988307386,-2.9955130268115
C2orf25,-0.376508148097132,7.11252235703846,-3.13600404310397,0.00429996745564042,0.92446988307386,-3.0056692320341
ARHGEF7,0.4209319611667,5.38769035911538,3.12242392633632,0.00444508956580255,0.92446988307386,-3.01857696340427
NARS,0.397100234385181,6.54629808969231,3.11888344355046,0.00448369016648355,0.92446988307386,-3.02194110984801
LOC728014,0.31316992205815,4.77978499411538,3.10738772627351,0.00461125361571814,0.92446988307386,-3.03286119687397
SH3BGRL3,-0.505831865114854,8.77858856211538,-3.09795725207316,0.00471849170461821,0.92446988307386,-3.04181582621444
TRIM38,0.38390140268104,4.81573388257692,3.09059328793781,0.00480388878433019,0.92446988307386,-3.04880586047218
DIS3L,0.456999921226685,5.07911797019231,3.08700523230373,0.00484603286073043,0.92446988307386,-3.05221095234999
LOC644423,-0.274105075561922,4.62141869092308,-3.02252164692365,0.00566657001627686,0.92446988307386,-3.11331252774961
ZNF700,0.235848881816238,5.05726784019231,3.0122701727146,0.00580867962070239,0.92446988307386,-3.12300849018051
LYSMD4,0.235284327222616,4.61087522388462,3.01100922525875,0.00582639257358918,0.92446988307386,-3.12420074340296
LEP,0.573039483366608,5.35180212469231,3.00165033972,0.00595948099959427,0.92446988307386,-3.13304721943295
KIR2DL4,-0.305494257772856,4.81471478669231,-2.99628678493726,0.00603705635797965,0.92446988307386,-3.13811505309961
BRD9,0.422588467965282,5.66290849438462,2.9937156294879,0.00607458481091822,0.92446988307386,-3.14054390596459
NUP160,0.224749055556671,4.84273153188462,2.98628782211245,0.00618425484926534,0.92446988307386,-3.14755861666781
ESYT1,0.469958079422524,5.73882049996154,2.98171199099019,0.00625275323423027,0.92446988307386,-3.15187846494358
DNAJA2,0.337181968335498,7.44593211311538,2.97335783692913,0.00637968159123108,0.92446988307386,-3.15976226518506
ACVR1,0.244990989330512,4.57266343819231,2.97041938815785,0.0064249076959793,0.92446988307386,-3.16253433828793
LOC646936,0.601844188236266,5.59221152626923,2.9585356362229,0.00661094731018131,0.92446988307386,-3.17374015825299
KTELC1,0.308731240055065,5.20243695415385,2.9401999903054,0.00690808753471622,0.92446988307386,-3.1910133892413
LOC100134053,0.597950985347576,6.00702729188462,2.9391873887024,0.00692486230011629,0.92446988307386,-3.19196672170518
FBXL10,0.410688033742075,5.59943498357692,2.93705396265535,0.00696033157448227,0.92446988307386,-3.19397506700322
FGFBP2,-0.827390648765505,5.292364214,-2.93035422182353,0.00707284501559879,0.92446988307386,-3.20028015913665
C1orf41,-0.362749481308525,5.012826679,-2.92499536391254,0.007164082906497,0.92446988307386,-3.20532131016227
DENR,0.401323096050405,6.23720328576923,2.92180945795022,0.00721885414071533,0.92446988307386,-3.2083174641062
KIAA1267,0.216216217418456,5.96291373057692,2.9082637766887,0.00745620247281306,0.92446988307386,-3.22104898159359
CNOT1,0.388568051570454,6.00589423219231,2.90137651582755,0.00757970623985072,0.92446988307386,-3.22751761080937
MCART1,0.735833309583579,8.28655754292308,2.88951916192731,0.00779689766760754,0.92446988307386,-3.23864666567303
ATP5J,-0.311989770189605,7.81084520388462,-2.88548352450628,0.00787215630261391,0.92446988307386,-3.24243220498211
CD79B,0.485408980173198,5.60223031761538,2.88331416037962,0.00791289601922948,0.92446988307386,-3.24446665559549
