"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","magNES"
"EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 56%156842",4.95468093330147e-07,7.0653750108879e-05,0.659444398037935,-0.574348622256599,-2.14720024458269,79,"RPLP0, RPS2, RPS25, EEF1G, RPL35A, EEF1A1, RPL27, RPL30, RPL26L1, RPL8, RPL27A, RPS24, RPS9, RPL12, RPS14, RPS4X, RPL24, RPL19, RPS3, RPS7, RPL22, RPS8, EEF1D",2.14720024458269
"SENESCENCE-ASSOCIATED SECRETORY PHENOTYPE (SASP)%REACTOME%R-HSA-2559582.1",7.52458837632219e-06,0.000315590088959866,0.610526878385931,-0.608249146687996,-2.12709498377419,54,"HIST1H2AC, MAPK1, HIST1H2BD, MAPK3, HIST1H2BK, H2AFZ, HIST2H2AA4, STAT3, CCNA2, CEBPB, UBC, HIST2H2BE, HIST2H2AA3, ANAPC10, HIST2H4A, FOS, IGFBP7, HIST1H3H, UBE2C, H3F3A, UBB",2.12709498377419
"PURINE NUCLEOSIDE METABOLIC PROCESS%GOBP%GO:0042278",1.97527490219614e-08,1.40837100526585e-05,0.73376198835648,-0.518077636718587,-2.1056736303585,139,"SULT1A3, ALDOA, UQCRB, ATP5J, SULT1A2, COX8A, ATP5G2, COX6B1, NDUFA12, COX5B, TPI1, SULT1B1, PGM1, PGAM1, NDUFA11, NDUFB3, ATP5H, NDUFA1, NDUFA3, MCEE, HPRT1, SDHAF2, ATP5F1, UQCRC1, CHCHD10, UQCRQ, HDDC3, ATP5C1, COX7C, ALDOB, LDHA, COX6C",2.1056736303585
"PURINE RIBONUCLEOSIDE METABOLIC PROCESS%GOBP%GO:0046128",1.97527490219614e-08,1.40837100526585e-05,0.73376198835648,-0.518077636718587,-2.1056736303585,139,"SULT1A3, ALDOA, UQCRB, ATP5J, SULT1A2, COX8A, ATP5G2, COX6B1, NDUFA12, COX5B, TPI1, SULT1B1, PGM1, PGAM1, NDUFA11, NDUFB3, ATP5H, NDUFA1, NDUFA3, MCEE, HPRT1, SDHAF2, ATP5F1, UQCRC1, CHCHD10, UQCRQ, HDDC3, ATP5C1, COX7C, ALDOB, LDHA, COX6C",2.1056736303585
"PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 56%156902",2.78222799017486e-06,0.000160860218121362,0.627256739718528,-0.563277177224145,-2.07917448319333,76,"RPLP0, RPS2, RPS25, RPL35A, EEF1A1, RPL27, RPL30, RPL26L1, RPL8, RPL27A, RPS24, RPS9, RPL12, RPS14, RPS4X, RPL24, RPL19, RPS3, RPS7, RPL22, RPS8",2.07917448319333
"EUKARYOTIC TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 56%72764",1.58793141763232e-06,0.000139980625752191,0.643551836150722,-0.55922194048143,-2.07329979568211,77,"RPLP0, RPS2, RPS25, RPL35A, RPL27, RPL30, RPL26L1, RPL8, RPL27A, RPS24, TRMT112, RPS9, RPL12, RPS14, RPS4X, RPL24, RPL19, RPS3, RPS7, RPL22, RPS8",2.07329979568211
"RIBONUCLEOSIDE METABOLIC PROCESS%GOBP%GO:0009119",8.96454596248928e-08,3.19586063562743e-05,0.704975715167238,-0.498525441198658,-2.04624670698403,147,"SULT1A3, ALDOA, UQCRB, ATP5J, SULT1A2, COX8A, ATP5G2, COX6B1, NDUFA12, COX5B, TPI1, CDA, SULT1B1, PGM1, PGAM1, NDUFA11, NDUFB3, ATP5H, NDUFA1, NDUFA3, MCEE, HPRT1, SDHAF2, ATP5F1, UQCRC1, CHCHD10, APOBEC3G, UQCRQ, HDDC3, ATP5C1, COX7C, ALDOB, LDHA, COX6C",2.04624670698403
"ATP METABOLIC PROCESS%GOBP%GO:0046034",5.70488190628339e-07,7.24967026537575e-05,0.659444398037935,-0.522868080549862,-2.04274332720687,104,"ALDOA, UQCRB, ATP5J, COX8A, ATP5G2, COX6B1, NDUFA12, COX5B, TPI1, PGM1, PGAM1, NDUFA11, NDUFB3, ATP5H, NDUFA1, NDUFA3, SDHAF2, ATP5F1, UQCRC1, CHCHD10, UQCRQ, ATP5C1, COX7C, ALDOB, LDHA, COX6C",2.04274332720687
"SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME DATABASE ID RELEASE 56%1799339",1.82648460509343e-06,0.000139980625752191,0.643551836150722,-0.527129342997256,-2.04024912626926,96,"RPLP0, RPS2, SSR2, RPS25, SRP14, RPL35A, RPL27, RPL30, RPL26L1, SEC11A, SRP19, RPL8, SPCS1, RPL27A, RPS24, RPS9, RPL12, RPS14, RPS4X, RPL24, RPL19, RPS3, RPS7, RPL22, SPCS2, RPS8, RPS21, SEC61G, RPL38",2.04024912626926
"VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.1",6.36342740084364e-06,0.000283570233550095,0.610526878385931,-0.551219687652273,-2.03345169954329,75,"RPLP0, RPS2, RPS25, RPL35A, RPL27, RPL30, RPL26L1, RPL8, RPL27A, RPS24, RPS9, RPL12, RPS14, RPS4X, RPL24, RPL19, RPS3, RPS7, RPL22, RPS8",2.03345169954329
"PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009205",6.60909631485867e-07,7.24967026537575e-05,0.659444398037935,-0.517040573604199,-2.03258733164579,108,"ALDOA, UQCRB, ATP5J, COX8A, ATP5G2, COX6B1, NDUFA12, COX5B, TPI1, PGM1, PGAM1, NDUFA11, NDUFB3, ATP5H, NDUFA1, NDUFA3, SDHAF2, ATP5F1, UQCRC1, CHCHD10, UQCRQ, ATP5C1, COX7C, ALDOB, LDHA, COX6C",2.03258733164579
"RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009199",6.60909631485867e-07,7.24967026537575e-05,0.659444398037935,-0.517040573604199,-2.03258733164579,108,"ALDOA, UQCRB, ATP5J, COX8A, ATP5G2, COX6B1, NDUFA12, COX5B, TPI1, PGM1, PGAM1, NDUFA11, NDUFB3, ATP5H, NDUFA1, NDUFA3, SDHAF2, ATP5F1, UQCRC1, CHCHD10, UQCRQ, ATP5C1, COX7C, ALDOB, LDHA, COX6C",2.03258733164579
