GO.ID	Description	p.Val	FDR	Phenotype
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.	7.754732849850424e-6	0.011058249043886704	-1
REGULATION OF ORGAN MORPHOGENESIS%GOBP%GO:2000027	REGULATION OF ORGAN MORPHOGENESIS	4.629488432389055e-5	0.028354283133178095	-1
CHROMOSOME MAINTENANCE%REACTOME DATABASE ID RELEASE 56%73886	CHROMOSOME MAINTENANCE	3.494184740855072e-4	0.034790456593083344	-1
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0042590	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I	1.5734273656228993e-4	0.028354283133178095	-1
OXIDATIVE STRESS INDUCED SENESCENCE%REACTOME%R-HSA-2559580.1	OXIDATIVE STRESS INDUCED SENESCENCE	1.2109662301320536e-4	0.028354283133178095	-1
SENESCENCE-ASSOCIATED SECRETORY PHENOTYPE (SASP)%REACTOME%R-HSA-2559582.1	SENESCENCE-ASSOCIATED SECRETORY PHENOTYPE (SASP)	3.9456217396518085e-4	0.034790456593083344	-1
REGULATION OF ESTABLISHMENT OF PLANAR POLARITY%GOBP%GO:0090175	REGULATION OF ESTABLISHMENT OF PLANAR POLARITY	2.928130374386719e-4	0.034790456593083344	-1
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I, TAP-DEPENDENT%GOBP%GO:0002479	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I, TAP-DEPENDENT	5.104833007566389e-4	0.034790456593083344	-1
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0002474	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I	3.3948324108787825e-4	0.034790456593083344	-1
RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 56%611105	RESPIRATORY ELECTRON TRANSPORT	6.768186634407685e-4	0.041962757133327644	-1
WNT SIGNALING PATHWAY, PLANAR CELL POLARITY PATHWAY%GOBP%GO:0060071	WNT SIGNALING PATHWAY, PLANAR CELL POLARITY PATHWAY	8.32441451840498e-4	0.045656211935559625	-1
TRNA METABOLIC PROCESS%GOBP%GO:0006399	TRNA METABOLIC PROCESS	3.7793537672728715e-4	0.034790456593083344	+1
WNT SIGNALING PATHWAY%GOBP%GO:0016055	WNT SIGNALING PATHWAY	1.5198557740795046e-4	0.028354283133178095	-1
NON-CANONICAL WNT SIGNALING PATHWAY%GOBP%GO:0035567	NON-CANONICAL WNT SIGNALING PATHWAY	0.001108198941778575	0.05267638969920826	-1
RIBONUCLEOSIDE METABOLIC PROCESS%GOBP%GO:0009119	RIBONUCLEOSIDE METABOLIC PROCESS	7.962734897684574e-5	0.028354283133178095	-1
PURINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009144	PURINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS	3.984197404968157e-4	0.034790456593083344	-1
CELLULAR SENESCENCE%REACTOME%R-HSA-2559583.1	CELLULAR SENESCENCE	7.49966537903792e-4	0.042778091322032294	-1
PURINE NUCLEOSIDE METABOLIC PROCESS%GOBP%GO:0042278	PURINE NUCLEOSIDE METABOLIC PROCESS	5.123419273876229e-4	0.034790456593083344	-1
