GO.ID	Description	p.Val	FDR	Phenotype
INNATE IMMUNE RESPONSE%GOBP%GO:0045087	INNATE IMMUNE RESPONSE	1.8421451846097604e-14	4.37816505542253e-12	-1
INTERFERON SIGNALING%REACTOME DATABASE ID RELEASE 56%913531	INTERFERON SIGNALING	1.4700274480125638e-10	1.1032942846662716e-8	-1
IMMUNE RESPONSE%GOBP%GO:0006955	IMMUNE RESPONSE	8.759086486739047e-20	6.24522866504494e-17	-1
TCR SIGNALING%REACTOME%R-HSA-202403.2	TCR SIGNALING	2.9080828538494138e-8	1.215151481572802e-6	-1
NUCLEAR IMPORT%GOBP%GO:0051170	NUCLEAR IMPORT	1.738997902133366e-7	5.635934110095863e-6	-1
PROTEIN IMPORT INTO NUCLEUS%GOBP%GO:0006606	PROTEIN IMPORT INTO NUCLEUS	2.2828337618936125e-6	4.018914746247273e-5	-1
PROTEIN TARGETING TO NUCLEUS%GOBP%GO:0044744	PROTEIN TARGETING TO NUCLEUS	2.2828337618936125e-6	4.018914746247273e-5	-1
SINGLE-ORGANISM NUCLEAR IMPORT%GOBP%GO:1902593	SINGLE-ORGANISM NUCLEAR IMPORT	2.2828337618936125e-6	4.018914746247273e-5	-1
ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851	ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY	5.187375601157901e-9	2.739702817500432e-7	-1
DOWNSTREAM TCR SIGNALING%REACTOME DATABASE ID RELEASE 56%202424	DOWNSTREAM TCR SIGNALING	2.8434812413717487e-7	8.109608500392226e-6	-1
IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002429	IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY	6.644609245037602e-11	5.922007989639762e-9	-1
T CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050852	T CELL RECEPTOR SIGNALING PATHWAY	3.769551067145043e-8	1.4528053572294137e-6	-1
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN	1.595683040197472e-8	8.126585769005696e-7	-1
POSITIVE REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050778	POSITIVE REGULATION OF IMMUNE RESPONSE	4.0318997343641766e-13	7.186861276504145e-11	-1
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN	2.545402197982317e-8	1.13429485447587e-6	-1
IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002768	IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY	2.2469379943875508e-10	1.6020667899983238e-8	-1
IMMUNE RESPONSE-ACTIVATING SIGNAL TRANSDUCTION%GOBP%GO:0002757	IMMUNE RESPONSE-ACTIVATING SIGNAL TRANSDUCTION	2.3183439944074238e-11	2.2039723573499908e-9	-1
ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	ANTIGEN PROCESSING AND PRESENTATION	3.779428781803185e-9	2.072871324173593e-7	-1
IMMUNE RESPONSE-REGULATING SIGNALING PATHWAY%GOBP%GO:0002764	IMMUNE RESPONSE-REGULATING SIGNALING PATHWAY	1.7522550336457178e-11	1.7847969128419955e-9	-1
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I, TAP-DEPENDENT%GOBP%GO:0002479	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I, TAP-DEPENDENT	5.2301260788010705e-6	7.458159788370326e-5	-1
REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050776	REGULATION OF IMMUNE RESPONSE	5.67783076547722e-16	1.6193173343141032e-13	-1
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0042590	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I	5.109450977817168e-6	7.434772545272736e-5	-1
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN	7.839891060913754e-8	2.661829679253098e-6	-1
ACTIVATION OF IMMUNE RESPONSE%GOBP%GO:0002253	ACTIVATION OF IMMUNE RESPONSE	1.0278654410440522e-10	8.62197717016952e-9	-1
CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0019221	CYTOKINE-MEDIATED SIGNALING PATHWAY	8.737429536529771e-10	5.572324555081123e-8	-1
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME DATABASE ID RELEASE 56%72203	PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA	4.8235385302175935e-8	1.763683575407766e-6	-1
CELLULAR RESPONSE TO CYTOKINE STIMULUS%GOBP%GO:0071345	CELLULAR RESPONSE TO CYTOKINE STIMULUS	4.044187366508343e-10	2.7461958022099508e-8	-1
ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME DATABASE ID RELEASE 56%1236975	ANTIGEN PROCESSING-CROSS PRESENTATION	1.090764504498921e-5	1.3408880891512597e-4	-1
RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0034341	RESPONSE TO INTERFERON-GAMMA	3.074118348336297e-6	5.2186818627709035e-5	-1
INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060333	INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY	1.559375585388228e-5	1.7789356678108903e-4	-1
HOST INTERACTIONS OF HIV FACTORS%REACTOME DATABASE ID RELEASE 56%162909	HOST INTERACTIONS OF HIV FACTORS	7.361298674507977e-7	1.8098641223876505e-5	-1
DEGRADATION OF BETA-CATENIN BY THE DESTRUCTION COMPLEX%REACTOME DATABASE ID RELEASE 56%195253	DEGRADATION OF BETA-CATENIN BY THE DESTRUCTION COMPLEX	1.2511455676656655e-5	1.5119776097383383e-4	-1
POSITIVE REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002699	POSITIVE REGULATION OF IMMUNE EFFECTOR PROCESS	2.158115478556126e-5	2.3314186912280573e-4	-1
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I%GOBP%GO:0002474	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I	3.172607858120344e-5	3.2547761191939646e-4	-1
POSITIVE REGULATION OF IMMUNE SYSTEM PROCESS%GOBP%GO:0002684	POSITIVE REGULATION OF IMMUNE SYSTEM PROCESS	1.3031083789114507e-12	1.9020339222370225e-10	-1
RESPONSE TO VIRUS%GOBP%GO:0009615	RESPONSE TO VIRUS	4.6689240342333415e-6	7.008300708228152e-5	-1
DEFENSE RESPONSE%GOBP%GO:0006952	DEFENSE RESPONSE	1.891581955906313e-13	3.8534226701748604e-11	-1
CYTOKINE SIGNALING IN IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 56%1280215	CYTOKINE SIGNALING IN IMMUNE SYSTEM	4.594735357409713e-12	5.040071245897116e-10	-1
REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002694	REGULATION OF LEUKOCYTE ACTIVATION	2.847405608995996e-8	1.215151481572802e-6	-1
IMMUNE EFFECTOR PROCESS%GOBP%GO:0002252	IMMUNE EFFECTOR PROCESS	3.2482424911693975e-8	1.2866649423354337e-6	-1
CXCR4%IOB%CXCR4	CXCR4	1.9276840538843666e-5	2.0983797410985546e-4	-1
MRNA SPLICING%REACTOME DATABASE ID RELEASE 56%72172	MRNA SPLICING	4.781783354555519e-6	7.029714498552753e-5	-1
CELLULAR RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0071346	CELLULAR RESPONSE TO INTERFERON-GAMMA	4.9713199046890945e-5	4.6334001203180716e-4	-1
IMMUNE SYSTEM PROCESS%GOBP%GO:0002376	IMMUNE SYSTEM PROCESS	1.1082470822299304e-20	1.5803603392598808e-17	-1
REGULATION OF LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002703	REGULATION OF LEUKOCYTE MEDIATED IMMUNITY	4.2015373315602786e-5	3.9942614898699714e-4	-1
REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045088	REGULATION OF INNATE IMMUNE RESPONSE	1.7809064417031257e-8	8.757146847822955e-7	-1
PRE-MRNA SPLICING%REACTOME DATABASE ID RELEASE 56%72163	PRE-MRNA SPLICING	4.7698302178046985e-6	7.029714498552753e-5	-1
NUCLEAR TRANSPORT%GOBP%GO:0051169	NUCLEAR TRANSPORT	7.746993320860801e-7	1.8724088941605937e-5	-1
ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.1	ER-PHAGOSOME PATHWAY	8.647764636418279e-5	7.046692783732837e-4	-1
