"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","magNES"
"INNATE IMMUNE RESPONSE%GOBP%GO:0045087",1.84214518460976e-14,4.37816505542253e-12,0.97599468306432,-0.519924408439483,-2.32251089107704,219,"HLA-DQA1, DEFA1, HLA-DPA1, LGALS9, HLA-DRB4, DEFA3, IFITM3, HLA-DRA, HLA-DQB1, DEFA1B, SRC, IGLL1, IRF1, DEFA4, IFNAR2, TRIM22, TBK1, GBP2, NCF1, CORO1A, JAK1, ISG20, IFIH1, PSMB8, PPP1R14B, RIPK2, HLA-E, CYBB, TRIM13, HLA-DRB3, IFITM1, NOD2, CAMK2G, CD44, CEBPG, CYBA, TRIM5, HLA-DPB1, HLA-B, NFKB1, IFI35, VAMP2, IRAK4, IFIT3, XAF1, IFIT2, TRIM56, KYNU, HLA-F, KLRD1, ANKRD17, SLPI, SLC11A1, LCN2, HIST1H2BK, SYK, CFP, BLK, IFIT1, UBC, IFI30, FES, IRF9, CCL5, LYN, MX1, B2M, TLR8, TUBB, PGLYRP1, PIK3CG, MX2, SRPK1, NCF2, RNASE3, ADAR, TRIM38, JAK2, LTF, STAT1, IFITM2, MT2A, FCGR1B, FGR, HIST2H2BE, APOBEC3G, PTK2, OAS2, TYK2, GAPDH, HIST1H2BJ, CCL4L2, C19orf66, PRKCD, IRF8, AIF1, TRIM28, TRIM27, RPS27A, FCER1G, IP6K2, PTK2B, STAT2, IRF2, OAS1, CSK",2.32251089107704
"INTERFERON SIGNALING%REACTOME DATABASE ID RELEASE 56%913531",1.47002744801256e-10,1.10329428466627e-08,0.826657301178302,-0.537152526884466,-2.24685275620013,136,"HLA-DQA1, HLA-DPA1, HLA-DRB4, IFITM3, HLA-DRA, HLA-DQB1, IRF1, NUP153, TRIM22, GBP2, NUP62, PTPN1, JAK1, GBP5, ISG20, NUP210, PSMB8, NUP85, HLA-E, NUP37, HLA-DRB3, IFITM1, EIF4A1, CAMK2G, CD44, HERC5, TRIM5, HLA-DPB1, HLA-B, IFI35, FLNB, EIF4A3, IFIT3, XAF1, KPNB1, GBP4, TPR, PIAS1, NUPL2, IFIT2, HLA-F, UBE2L6, EIF4G2, MAPK3, IFIT1, UBC, IFI30, NUP160, IRF9, RAE1, MX1, B2M, NUP54, MX2, ADAR, TRIM38, JAK2, STAT1, IFITM2, MT2A, FCGR1B, NUP214",2.24685275620013
"IMMUNE RESPONSE%GOBP%GO:0006955",8.75908648673905e-20,6.24522866504494e-17,1.15122052214226,-0.473647244532952,-2.24073396794325,403,"CD74, HLA-DQA1, DEFA1, HLA-DPA1, LGALS9, VPREB3, HLA-DRB4, DEFA3, BTN3A2, IFITM3, CD8B, HLA-DRA, HLA-DQB1, DEFA1B, SRC, IGLL1, IRF1, DEFA4, IFNAR2, TRIM22, TBK1, WAS, IGSF6, GBP2, NCF1, ELANE, CORO1A, JAK1, MR1, GAPT, ST6GAL1, ISG20, IFIH1, PSMB8, PPP1R14B, CTSH, RIPK2, LCP1, HLA-E, CYBB, TRIM13, HLA-DRB3, CTSW, CTSC, IFITM1, TNFRSF1B, NOD2, CAMK2G, CD44, CEBPG, CYBA, TRIM5, HLA-DPB1, YTHDF2, MSH6, HLA-B, NFKB1, IFI35, VAMP2, CTSG, IRAK4, TAPBP, CD86, IFIT3, CD79B, XAF1, GPSM3, SEMA4D, IFIT2, MARCH1, IL1RN, TRIM56, KYNU, STXBP3, SPN, HSPD1, HLA-F, TNFRSF25, KLRD1, ANKRD17, SLPI, DPP8, SLC11A1, LCN2, HIST1H2BK, CEACAM8, SYK, CFP, BLK, IFIT1, RFX1, TXK, UBC, LEF1, IFI30, FCGR3B, CD96, FES, EXOSC9, HMGB2, IRF9, DOCK2, IK, MAP4K2, CCL5, CD46, LYN, MX1, B2M, BCL2, TLR8, TUBB, FFAR2, PGLYRP1, PIK3CG, LY86, MX2, SRPK1, CCR6, NCF2, RNASE3, ADAR, EXOSC3, ATP7A, TRIM38, JAK2, LTF, AZU1, BTN3A3, STAT1, PSMB10, CD83, IFITM2, MT2A, FCGR1B, SLAMF6, GPI, FGR, HIST2H2BE, APOBEC3G, TNFRSF8, PTK2, IL7R, OAS2, BMP6, AQP9, TYK2, GAPDH, HIST1H2BJ, KIR2DL3, CCL4L2, C19orf66, PRKCD, PYCARD, EOMES, IRF8, AIF1, TRIM28, LAX1, TRIM27, RPS27A, FCER1G, IP6K2, NOTCH2, PTK2B, STAT2, IRF2, AIM2, OAS1, CSK",2.24073396794325
"TCR SIGNALING%REACTOME%R-HSA-202403.2",2.90808285384941e-08,1.2151514815728e-06,0.73376198835648,-0.558994490882458,-2.23693810396336,97,"HLA-DQA1, HLA-DPA1, PSMB2, HLA-DRB4, HLA-DRA, HLA-DQB1, PSMC1, FBXW11, PSME2, WAS, PSMD7, PTPRC, PSMB8, RIPK2, INPP5D, HLA-DRB3, PAK1, HLA-DPB1, NFKB1, CD3G, PSMA5, PSMB1, PSMB9, PSMA4, PSMC6, PSMC2, EVL, VASP, UBC, PSMD6, PSMA1, PSMD1, FYB, PSMC4, TRAT1, PSMB4, PTEN, PSMB10, PSME3, PSMB3, PSMD12, PSMA3",2.23693810396336
"NUCLEAR IMPORT%GOBP%GO:0051170",1.73899790213337e-07,5.63593411009586e-06,0.690132458796796,-0.595134733691529,-2.19589418475381,62,"RERE, CSE1L, NUP62, SNRPB, NUP85, RBM22, RAN, KPNB1, TPR, NOP58, SNRPF, TNPO2, SYK, CBLB, AKT1, RAE1, NUP54, TNPO1, FYB, ADAR, JAK2, RPAIN, BCL3, C11orf73, TSC2, STAT3, KPNA6, KPNA3, NUP98, PTTG1IP",2.19589418475381
"PROTEIN IMPORT INTO NUCLEUS%GOBP%GO:0006606",2.28283376189361e-06,4.01891474624727e-05,0.627256739718528,-0.610797850641709,-2.19294806133764,53,"RERE, CSE1L, NUP62, NUP85, RBM22, RAN, KPNB1, TPR, NOP58, TNPO2, SYK, CBLB, AKT1, RAE1, NUP54, TNPO1, FYB, ADAR, JAK2, RPAIN, BCL3, C11orf73, TSC2, STAT3, KPNA6, KPNA3, NUP98, PTTG1IP",2.19294806133764
"PROTEIN TARGETING TO NUCLEUS%GOBP%GO:0044744",2.28283376189361e-06,4.01891474624727e-05,0.627256739718528,-0.610797850641709,-2.19294806133764,53,"RERE, CSE1L, NUP62, NUP85, RBM22, RAN, KPNB1, TPR, NOP58, TNPO2, SYK, CBLB, AKT1, RAE1, NUP54, TNPO1, FYB, ADAR, JAK2, RPAIN, BCL3, C11orf73, TSC2, STAT3, KPNA6, KPNA3, NUP98, PTTG1IP",2.19294806133764
"SINGLE-ORGANISM NUCLEAR IMPORT%GOBP%GO:1902593",2.28283376189361e-06,4.01891474624727e-05,0.627256739718528,-0.610797850641709,-2.19294806133764,53,"RERE, CSE1L, NUP62, NUP85, RBM22, RAN, KPNB1, TPR, NOP58, TNPO2, SYK, CBLB, AKT1, RAE1, NUP54, TNPO1, FYB, ADAR, JAK2, RPAIN, BCL3, C11orf73, TSC2, STAT3, KPNA6, KPNA3, NUP98, PTTG1IP",2.19294806133764
"ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851",5.1873756011579e-09,2.73970281750043e-07,0.761460801445585,-0.530325793922716,-2.18725625542124,125,"HLA-DQA1, HLA-DPA1, PSMB2, HLA-DRB4, HLA-DRA, HLA-DQB1, PSMC1, PLCG2, IGLL1, BAX, FBXW11, PSME2, WAS, PSMD7, RBCK1, PTPRC, PSMB8, RIPK2, CD19, CD79A, INPP5D, HLA-DRB3, PAK1, HLA-DPB1, NFKB1, CD3G, PSMA5, PSMB1, PSMB9, CD79B, MNDA, PSMA4, PSMC6, PSMC2, SYK, BLK, TXK, UBC, PSMD6, BCL2, SKAP1, PSMA1, PSMD1, FYB, PSMC4, TRAT1",2.18725625542124
"DOWNSTREAM TCR SIGNALING%REACTOME DATABASE ID RELEASE 56%202424",2.84348124137175e-07,8.10960850039223e-06,0.674962860011025,-0.558947107216535,-2.16256130721115,82,"HLA-DQA1, HLA-DPA1, PSMB2, HLA-DRB4, HLA-DRA, HLA-DQB1, PSMC1, FBXW11, PSME2, PSMD7, PSMB8, RIPK2, INPP5D, HLA-DRB3, HLA-DPB1, NFKB1, CD3G, PSMA5, PSMB1, PSMB9, PSMA4, PSMC6, PSMC2, UBC, PSMD6, PSMA1, PSMD1, PSMC4, TRAT1, PSMB4, PTEN, PSMB10, PSME3, PSMB3, PSMD12, PSMA3",2.16256130721115
